,P [MW],Q [MVAR],Bus_Type
B1,1997.9999999928502,521.8654287677715,2
B2,-2.3339607488063195e-09,3.3597001372045453e-09,1
B3,-1897.9999999924264,569.9398327295704,3
B4,-99.99999999808908,-199.9999999985955,1
