,Bus Type,|V| [pu],d [deg],Bus Types
B1,,1.0,25.144165439947177,2
B2,,0.9741385914786928,17.17825006594183,1
B3,,1.0,0.0,3
B4,,0.953982918113883,7.831274102581866,1
